id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect,taskresult_geomtime,taskresult_metatime,taskresult_geomcorrect,taskresult_metacorrect
214,1,True,False,b'',"id: 226, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 11:23:09.594181+00:00",3,24,False,92,9,46,46,4,5
367,4,True,False,b'',"id: 350, experienced: True, age: 34","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 18:34:47.689346+00:00",3,34,True,112,10,46,66,6,4
198,5,True,False,b'',"id: 220, experienced: False, age: 25","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 10:01:06.055626+00:00",3,25,False,84,11,46,38,5,6
196,3,True,False,b'',"id: 220, experienced: False, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:59:30.391124+00:00",2,25,False,82,9,46,36,3,6
525,4,True,False,b'',"id: 452, experienced: True, age: 38","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 06:35:38.727826+00:00",2,38,True,106,8,47,59,5,3
241,4,True,False,b'',"id: 235, experienced: False, age: 24","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-03 07:59:35.034212+00:00",3,24,False,83,8,47,36,3,5
201,1,True,False,b'',"id: 221, experienced: True, age: 23","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-02 10:28:53.756582+00:00",3,23,True,93,10,47,46,4,6
725,2,False,False,b'',"id: 559, experienced: False, age: 22","id: 3, title: Building geometry and metadata","Task: id: 3, title: Building geometry and metadata, date: 2017-05-07 11:41:05.917661+00:00",3,22,False,136,10,48,88,5,5
208,2,True,False,b'',"id: 225, experienced: True, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 10:49:38.043218+00:00",2,25,True,98,9,50,48,4,5
638,1,True,False,b'',"id: 513, experienced: False, age: 25","id: 1, title: Building geometry and metadata","Task: id: 1, title: Building geometry and metadata, date: 2017-05-05 12:54:24.011337+00:00",1,25,False,78,9,50,28,4,5
