id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
587,2017-05-05 10:51:43.839381+00:00,"[4, 1, 3, 2]",3,2,158,39,197,5,6,11,"[15, 16, 17, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 482, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
476,2017-05-04 13:44:41.570947+00:00,"[4, 3, 2, 1]",3,1,104,94,198,4,6,10,"[15, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 436, experienced: True, age: 22","id: 3, title: Building geometry and metadata"
599,2017-05-05 10:58:11.230643+00:00,"[4, 2, 1, 3]",3,3,161,37,198,3,4,7,"[4, 5, 6]","[1, 3, 5, 6]","id: 484, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
629,2017-05-05 13:04:10.362257+00:00,"[4, 3, 1, 2]",3,1,128,71,199,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5]","id: 515, experienced: False, age: 20","id: 3, title: Building geometry and metadata"
519,2017-05-05 07:11:51.130851+00:00,"[4, 3, 2, 1]",3,1,112,88,200,4,5,9,"[10, 11, 12, 13]","[9, 10, 12, 13, 14]","id: 453, experienced: True, age: 51","id: 3, title: Building geometry and metadata"
249,2017-05-03 10:28:10.886245+00:00,"[4, 3, 1, 2]",3,1,90,112,202,5,5,10,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5]","id: 249, experienced: True, age: 23","id: 3, title: Building geometry and metadata"
386,2017-05-03 20:40:01.817097+00:00,"[4, 1, 2, 3]",3,3,102,107,209,2,3,5,"[10, 14]","[10, 11, 12]","id: 380, experienced: True, age: 38","id: 3, title: Building geometry and metadata"
749,2017-05-08 06:33:54.528398+00:00,"[4, 2, 1, 3]",3,3,161,48,209,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 6]","id: 572, experienced: False, age: 22","id: 3, title: Building geometry and metadata"
318,2017-05-03 15:41:59.165035+00:00,"[4, 3, 2, 1]",3,1,134,75,209,5,4,9,"[9, 10, 12, 13, 14]","[10, 11, 12, 14]","id: 303, experienced: False, age: 21","id: 3, title: Building geometry and metadata"
606,2017-05-05 11:04:20.682931+00:00,"[4, 2, 3, 1]",3,2,148,62,210,5,5,10,"[9, 10, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 490, experienced: False, age: 50","id: 3, title: Building geometry and metadata"
491,2017-05-04 16:18:06.543575+00:00,"[4, 2, 1, 3]",3,3,175,40,215,5,4,9,"[15, 16, 17, 19, 20]","[15, 16, 17, 19]","id: 443, experienced: True, age: 56","id: 3, title: Building geometry and metadata"
716,2017-05-07 14:15:26.390554+00:00,"[4, 3, 2, 1]",3,1,126,91,217,6,5,11,"[9, 10, 11, 12, 13, 14]","[9, 10, 12, 13, 14]","id: 560, experienced: True, age: 22","id: 3, title: Building geometry and metadata"
225,2017-05-03 08:05:36.784417+00:00,"[4, 2, 3, 1]",3,2,120,97,217,6,4,10,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 13]","id: 236, experienced: True, age: 25","id: 3, title: Building geometry and metadata"
347,2017-05-03 17:58:42.446365+00:00,"[4, 2, 1, 3]",3,3,150,68,218,5,3,8,"[1, 3, 4, 5, 6]","[1, 3, 4]","id: 340, experienced: True, age: 40","id: 3, title: Building geometry and metadata"
293,2017-05-03 13:57:22.967173+00:00,"[4, 3, 1, 2]",3,1,120,98,218,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 284, experienced: True, age: 45","id: 3, title: Building geometry and metadata"
244,2017-05-03 10:13:16.286662+00:00,"[4, 3, 2, 1]",3,1,128,92,220,4,6,10,"[1, 2, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 250, experienced: True, age: 23","id: 3, title: Building geometry and metadata"
417,2017-05-04 07:18:05.898450+00:00,"[4, 3, 2, 1]",3,1,131,93,224,4,4,8,"[10, 11, 12, 14]","[9, 12, 13, 14]","id: 407, experienced: False, age: 26","id: 3, title: Building geometry and metadata"
772,2017-05-08 10:23:18.564586+00:00,"[4, 3, 1, 2]",3,1,117,108,225,4,3,7,"[15, 16, 17, 19]","[17, 19, 20]","id: 588, experienced: False, age: 25","id: 3, title: Building geometry and metadata"
172,2017-05-02 09:54:06.387525+00:00,"[4, 3, 2, 1]",3,1,120,105,225,6,4,10,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","id: 219, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
435,2017-05-04 09:23:13.544027+00:00,"[4, 2, 1, 3]",3,3,169,59,228,5,6,11,"[2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 415, experienced: False, age: 21","id: 3, title: Building geometry and metadata"
331,2017-05-03 17:13:36.752400+00:00,"[4, 1, 2, 3]",3,3,167,61,228,4,4,8,"[15, 16, 17, 19]","[17, 18, 19, 20]","id: 313, experienced: False, age: -25","id: 3, title: Building geometry and metadata"
655,2017-05-05 16:26:17.836400+00:00,"[4, 3, 1, 2]",3,1,105,124,229,6,6,12,"[15, 16, 17, 18, 19, 20]","[15, 16, 17, 18, 19, 20]","id: 532, experienced: False, age: 24","id: 3, title: Building geometry and metadata"
