id,difficulty,besteffort,interupted,comment,participant,task,taskresult,task_id,participant_age,participant_experienced,taskresult_totaltime,taskresult_totalcorrect
575,4,True,False,b'',"id: 455, experienced: True, age: 41","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:17:17.719209+00:00",2,41,True,52,8
202,1,True,False,b'',"id: 221, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 10:30:03.899857+00:00",2,23,True,52,12
227,1,True,False,b'',"id: 232, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 07:20:00.761070+00:00",2,22,True,53,7
816,3,True,False,b'',"id: 596, experienced: True, age: 33","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 22:09:31.573486+00:00",2,33,True,74,10
681,1,True,False,b'',"id: 537, experienced: True, age: 33","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 19:57:37.951020+00:00",2,33,True,76,12
331,2,True,False,b'',"id: 296, experienced: True, age: 43","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 15:14:23.432081+00:00",2,43,True,78,11
568,2,True,False,b'Vanskelig \xe5 se husets form i flyfotoene.',"id: 471, experienced: True, age: 42","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:00:29.451699+00:00",2,42,True,79,10
684,2,True,False,b'',"id: 538, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 20:13:39.974457+00:00",2,24,True,89,6
573,2,True,False,b'It required a few extra clicks to find out which house corresponded to which hide/show-menu',"id: 473, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:14:54.190623+00:00",2,24,True,89,11
297,4,True,False,b'',"id: 273, experienced: True, age: 31","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 12:35:35.674686+00:00",2,31,True,97,10
208,2,True,False,b'',"id: 225, experienced: True, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 10:49:38.043218+00:00",2,25,True,98,9
320,3,True,False,b'',"id: 292, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 14:47:23.209489+00:00",2,36,True,99,7
392,2,True,False,b'',"id: 368, experienced: True, age: 26","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 19:51:17.098236+00:00",2,26,True,100,11
369,2,True,False,b'',"id: 350, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 18:36:50.114609+00:00",2,34,True,103,10
307,1,True,False,b'',"id: 277, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 13:04:30.925160+00:00",2,34,True,105,9
631,2,True,False,b'',"id: 507, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 12:17:49.539578+00:00",2,22,True,105,6
525,4,True,False,b'',"id: 452, experienced: True, age: 38","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 06:35:38.727826+00:00",2,38,True,106,8
294,2,True,False,b'',"id: 270, experienced: True, age: 27","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 12:18:01.639752+00:00",2,27,True,116,7
180,2,True,False,b'',"id: 208, experienced: True, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-02 09:17:39.976451+00:00",2,25,True,116,12
399,1,True,False,b'',"id: 373, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 20:19:02.342805+00:00",2,36,True,116,10
437,1,True,False,b'',"id: 408, experienced: True, age: 37","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 07:23:24.403223+00:00",2,37,True,121,10
556,2,True,False,b'',"id: 465, experienced: True, age: 44","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 08:12:13.601514+00:00",2,44,True,126,12
583,2,True,False,b'',"id: 474, experienced: True, age: 45","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:30:58.355734+00:00",2,45,True,126,9
541,3,True,False,b'',"id: 459, experienced: True, age: 51","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:39:39.615576+00:00",2,51,True,129,5
530,2,True,False,b'',"id: 454, experienced: True, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 06:46:14.099573+00:00",2,40,True,129,9
316,1,True,False,b'',"id: 284, experienced: True, age: 45","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 14:02:42.419175+00:00",2,45,True,132,10
762,2,True,False,b'',"id: 573, experienced: True, age: 30","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 06:44:42.778540+00:00",2,30,True,133,10
699,2,True,False,b'',"id: 548, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-06 10:17:16.122737+00:00",2,22,True,137,10
274,2,True,False,"b""General comment to comments: Tried to type a longer comment to task 1, but the submit button didn't work then. Is there a hidden word limit on the comments?""","id: 249, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 10:43:48.649877+00:00",2,23,True,138,10
292,2,True,False,b'',"id: 265, experienced: True, age: 49","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 11:42:14.161811+00:00",2,49,True,140,12
802,2,True,False,b'',"id: 592, experienced: True, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 14:15:09.918510+00:00",2,25,True,140,11
333,1,True,False,b'',"id: 298, experienced: True, age: 31","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 15:17:16.298134+00:00",2,31,True,142,8
787,1,True,False,b'',"id: 589, experienced: True, age: 52","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 10:30:27.489030+00:00",2,52,True,146,11
225,3,True,False,b'',"id: 230, experienced: True, age: 29","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 07:18:41.303647+00:00",2,29,True,148,9
265,2,True,False,b'',"id: 250, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 10:16:05.917391+00:00",2,23,True,148,9
476,1,True,False,b'',"id: 427, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 12:00:26.700462+00:00",2,22,True,148,12
379,4,True,False,b'',"id: 355, experienced: True, age: 29","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 19:04:05.081724+00:00",2,29,True,149,7
242,2,True,False,b'',"id: 238, experienced: True, age: 32","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 08:00:11.720747+00:00",2,32,True,153,11
738,3,True,False,b'',"id: 562, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-07 15:22:16.190309+00:00",2,24,True,156,11
820,4,True,False,b'',"id: 598, experienced: True, age: 44","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-09 08:18:29.450277+00:00",2,44,True,156,8
480,1,True,False,b'',"id: 428, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 12:08:28.816603+00:00",2,36,True,159,8
372,2,True,False,b'',"id: 351, experienced: True, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 18:44:34.282617+00:00",2,40,True,161,9
496,4,True,False,b'',"id: 441, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 15:30:25.986971+00:00",2,22,True,161,11
430,3,True,False,b'',"id: 406, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 07:00:22.979553+00:00",2,34,True,163,11
551,1,True,False,b'',"id: 462, experienced: True, age: 39","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:50:37.996845+00:00",2,39,True,174,8
384,2,True,False,b'',"id: 358, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 19:15:44.801740+00:00",2,23,True,176,12
545,3,True,False,b'',"id: 456, experienced: True, age: 42","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 07:43:29.337658+00:00",2,42,True,176,11
518,1,True,False,b'',"id: 450, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 04:38:00.083884+00:00",2,23,True,185,9
424,2,True,False,b'',"id: 402, experienced: True, age: 39","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 05:24:43.611541+00:00",2,39,True,185,9
597,1,True,False,b'',"id: 476, experienced: True, age: 46","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:50:58.739084+00:00",2,46,True,186,8
503,2,True,False,b'',"id: 443, experienced: True, age: 56","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 16:10:29.218311+00:00",2,56,True,191,9
513,2,True,False,b'',"id: 448, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 21:48:11.519363+00:00",2,22,True,193,12
257,1,True,False,b'',"id: 245, experienced: True, age: 42","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 09:20:35.437170+00:00",2,42,True,198,8
454,1,True,False,b'',"id: 419, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 09:54:22.384767+00:00",2,23,True,200,9
352,2,True,False,b'',"id: 333, experienced: True, age: 27","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:34:37.886723+00:00",2,27,True,207,11
232,1,True,False,b'',"id: 234, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 07:42:37.687071+00:00",2,24,True,211,11
275,1,True,False,b'',"id: 252, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 10:45:19.022732+00:00",2,24,True,213,11
810,1,True,False,b'',"id: 594, experienced: True, age: 50","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-08 19:51:01.674382+00:00",2,50,True,217,9
360,2,True,False,b'',"id: 340, experienced: True, age: 40","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:50:31.213552+00:00",2,40,True,218,7
410,3,True,False,b'It is sometimes hard to click the desired shape (shape 1 & 2)',"id: 374, experienced: True, age: 24","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 21:11:44.257684+00:00",2,24,True,220,9
524,2,True,False,b'',"id: 451, experienced: True, age: 43","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 06:35:21.589073+00:00",2,43,True,220,9
835,2,True,False,b'',"id: 603, experienced: True, age: 43","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-10 06:27:50.165915+00:00",2,43,True,227,9
402,2,True,False,b'',"id: 380, experienced: True, age: 38","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 20:36:14.128839+00:00",2,38,True,229,10
578,2,True,False,b'',"id: 472, experienced: True, age: 34","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 10:15:35.287387+00:00",2,34,True,231,11
729,2,True,False,b'',"id: 560, experienced: True, age: 22","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-07 14:19:42.122558+00:00",2,22,True,235,10
615,2,True,False,b'',"id: 478, experienced: True, age: 54","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 11:01:54.218172+00:00",2,54,True,249,8
673,3,True,False,b'',"id: 534, experienced: True, age: 36","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-05 18:11:50.799770+00:00",2,36,True,264,9
740,3,True,False,b'',"id: 563, experienced: True, age: 46","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-07 18:09:28.100199+00:00",2,46,True,266,11
341,3,True,False,b'',"id: 306, experienced: True, age: 46","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 16:11:03.600636+00:00",2,46,True,288,12
243,3,True,False,b'',"id: 236, experienced: True, age: 25","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 08:01:45.365277+00:00",2,25,True,296,11
510,1,True,False,b'',"id: 447, experienced: True, age: 23","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-04 20:19:38.880673+00:00",2,23,True,306,11
363,1,True,False,b'',"id: 341, experienced: True, age: 47","id: 2, title: Building geometry and metadata","Task: id: 2, title: Building geometry and metadata, date: 2017-05-03 17:58:07.767884+00:00",2,47,True,309,9
