id,date,taskorder,tasknumber,taskordernumber,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,total_correct_elements,correct_buildings_geom,correct_buildings_meta,participant,task
433,2017-05-04 09:15:47.914144+00:00,"[4, 2, 1, 3]",2,1,131,135,266,3,6,9,"[10, 11, 12]","[9, 10, 11, 12, 13, 14]","id: 415, experienced: False, age: 21","id: 2, title: Building geometry and metadata"
728,2017-05-07 18:09:28.100199+00:00,"[4, 2, 3, 1]",2,1,147,119,266,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5, 6]","id: 563, experienced: True, age: 46","id: 2, title: Building geometry and metadata"
234,2017-05-03 09:16:13.243865+00:00,"[4, 3, 1, 2]",2,3,223,49,272,5,6,11,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5, 6]","id: 243, experienced: False, age: 54","id: 2, title: Building geometry and metadata"
406,2017-05-03 22:20:25.795877+00:00,"[4, 2, 1, 3]",2,1,139,138,277,5,2,7,"[9, 10, 11, 12, 14]","[10, 12]","id: 399, experienced: False, age: 52","id: 2, title: Building geometry and metadata"
324,2017-05-03 16:11:03.600636+00:00,"[4, 2, 1, 3]",2,1,204,84,288,6,6,12,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 306, experienced: True, age: 46","id: 2, title: Building geometry and metadata"
787,2017-05-08 13:01:11.514579+00:00,"[4, 2, 1, 3]",2,1,104,188,292,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19]","id: 591, experienced: False, age: 40","id: 2, title: Building geometry and metadata"
223,2017-05-03 08:01:45.365277+00:00,"[4, 2, 3, 1]",2,1,184,112,296,6,5,11,"[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5, 6]","id: 236, experienced: True, age: 25","id: 2, title: Building geometry and metadata"
496,2017-05-04 20:19:38.880673+00:00,"[4, 1, 2, 3]",2,2,63,243,306,6,5,11,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19, 20]","id: 447, experienced: True, age: 23","id: 2, title: Building geometry and metadata"
346,2017-05-03 17:58:07.767884+00:00,"[4, 3, 1, 2]",2,3,146,163,309,5,4,9,"[2, 3, 4, 5, 6]","[1, 4, 5, 6]","id: 341, experienced: True, age: 47","id: 2, title: Building geometry and metadata"
217,2017-05-03 07:55:23.492859+00:00,"[4, 2, 1, 3]",2,1,167,147,314,5,5,10,"[1, 2, 3, 5, 6]","[1, 2, 3, 4, 5]","id: 235, experienced: False, age: 24","id: 2, title: Building geometry and metadata"
520,2017-05-05 07:17:52.525704+00:00,"[4, 3, 2, 1]",2,2,272,69,341,5,4,9,"[15, 16, 17, 19, 20]","[15, 18, 19, 20]","id: 453, experienced: True, age: 51","id: 2, title: Building geometry and metadata"
292,2017-05-03 13:56:16.154718+00:00,"[4, 2, 3, 1]",2,1,163,188,351,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 17, 18, 19]","id: 283, experienced: True, age: 54","id: 2, title: Building geometry and metadata"
807,2017-05-09 08:08:54.940680+00:00,"[4, 2, 1, 3]",2,1,208,143,351,5,4,9,"[15, 16, 17, 18, 19]","[15, 16, 18, 20]","id: 597, experienced: True, age: 34","id: 2, title: Building geometry and metadata"
402,2017-05-03 21:54:12.877433+00:00,"[4, 1, 2, 3]",2,2,326,42,368,6,6,12,"[9, 10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 391, experienced: True, age: 44","id: 2, title: Building geometry and metadata"
163,2017-05-02 09:39:35.584243+00:00,"[4, 2, 3, 1]",2,1,116,268,384,5,6,11,"[10, 11, 12, 13, 14]","[9, 10, 11, 12, 13, 14]","id: 210, experienced: False, age: 23","id: 2, title: Building geometry and metadata"
621,2017-05-05 12:25:31.882554+00:00,"[4, 2, 1, 3]",2,1,140,247,387,5,6,11,"[15, 16, 17, 18, 19]","[15, 16, 17, 18, 19, 20]","id: 508, experienced: False, age: 58","id: 2, title: Building geometry and metadata"
549,2017-05-05 08:36:31.371485+00:00,"[4, 3, 2, 1]",2,2,180,236,416,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 18, 19, 20]","id: 466, experienced: True, age: 52","id: 2, title: Building geometry and metadata"
761,2017-05-08 08:57:42.705578+00:00,"[4, 1, 3, 2]",2,3,404,51,455,6,4,10,"[15, 16, 17, 18, 19, 20]","[15, 16, 18, 19]","id: 578, experienced: False, age: 19","id: 2, title: Building geometry and metadata"
709,2017-05-07 07:55:33.668305+00:00,"[4, 1, 2, 3]",2,2,333,159,492,6,2,8,"[9, 10, 11, 12, 13, 14]","[9, 13]","id: 556, experienced: True, age: 54","id: 2, title: Building geometry and metadata"
233,2017-05-03 09:15:45.110363+00:00,"[4, 3, 2, 1]",2,2,693,62,755,3,5,8,"[15, 17, 19]","[15, 17, 18, 19, 20]","id: 244, experienced: False, age: 27","id: 2, title: Building geometry and metadata"
