id,date,taskorder,geomtasktime,metatasktime,totaltime,correctgeom,correctmetadata,correct_buildings_geom,correct_buildings_meta,selectedgeomlayers,selectedmetalayers,participant,task
84,2017-04-05 07:55:15.397818+00:00,"[4, 1, 2, 3]",83,59,142,5,6,,,"[None, {'id': 11, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373864471912384, 63.42941094866038], [10.373920798301686, 63.42937255656401], [10.373993217945092, 63.429389353112505], [10.37403613328933, 63.42936175877764], [10.37422388792038, 63.42940494989874], [10.374097824096685, 63.42949253169447], [10.37390738725662, 63.42944454170261], [10.373931527137763, 63.429426545434865], [10.373864471912384, 63.42941094866038]]]]}, 'properties': {'json': {}, 'info1': 'Country: Norway', 'info2': 'City: Trondheim', 'info3': 'Address: Nidareid 5', 'title': 'Geom: 1', 'building_nr': 1, 'is_imported': True, 'element_name': 'Building 1'}}, {'id': 12, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374366044998157, 63.4299700277357], [10.37447333335876, 63.4298884460611], [10.374569892883313, 63.42990764177016], [10.37453770637513, 63.42992923692745], [10.374736189842231, 63.42998202502117], [10.374779105186468, 63.42999642175715], [10.374644994735707, 63.43007800312432], [10.37452697753905, 63.430051609178015], [10.374559164047234, 63.43001321793999], [10.374366044998157, 63.4299700277357]]]]}, 'properties': {'json': {}, 'info1': 'Building type: Detached house', 'info2': 'Building levels: 2', 'info3': 'Building material: wood', 'title': 'Geom: 1', 'building_nr': 2, 'is_imported': True, 'element_name': 'Building 2'}}, {'id': 13, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.376474261283853, 63.4298812476669], [10.376570820808405, 63.429893244989586], [10.376570820808405, 63.4299700277357], [10.376495718955985, 63.42998442447769], [10.37643671035767, 63.42999642175715], [10.376388430595382, 63.430044410824785], [10.376200675964354, 63.43004681027606], [10.376141667366012, 63.43001081848591], [10.375851988792409, 63.43001321793999], [10.375787615776042, 63.42993643530959], [10.375846624374384, 63.429869250339245], [10.376130938529961, 63.429878848201746], [10.37619531154633, 63.429833258326], [10.376415252685536, 63.42983565779493], [10.376474261283853, 63.4298812476669]]]]}, 'properties': {'json': {}, 'info1': 'Address: Kongens gate 99', 'info2': 'Amenity: Place of worship', 'info3': 'Building: Church', 'title': 'Geom: 1', 'building_nr': 3, 'is_imported': True, 'element_name': 'Building 3'}}, {'id': 14, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373218059539795, 63.430609476051416], [10.373108088970177, 63.43043431902005], [10.373274385929099, 63.43041992250411], [10.37338703870773, 63.43059148051538], [10.373218059539795, 63.430609476051416]]]]}, 'properties': {'json': {}, 'info1': 'Address: Mellommila 1A', 'info2': 'City: Trondheim', 'info3': 'Country: Norway', 'title': 'Geom: 2', 'building_nr': 4, 'is_imported': True, 'element_name': 'Building 4'}}, {'id': 15, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374990999698637, 63.43111214679162], [10.374940037727363, 63.43102097089206], [10.375130474567403, 63.43100297561444], [10.375146567821504, 63.431046164261716], [10.375277996063229, 63.43103896615835], [10.3753075003624, 63.431088153162015], [10.374990999698637, 63.43111214679162]]]]}, 'properties': {'json': {}, 'info1': 'Building: Detached house', 'info2': 'Building levels: 2', 'info3': 'Address: Nedre Ila 1', 'title': 'Geom: 1', 'building_nr': 5, 'is_imported': True, 'element_name': 'Building 5'}}, {'id': 16, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373226106166834, 63.429694088782874], [10.37337094545365, 63.42959930913812], [10.373615026474004, 63.429667694482895], [10.373464822769163, 63.42976487337632], [10.373226106166834, 63.429694088782874]]]]}, 'properties': {'json': {}, 'info1': 'Address: nidaReid', 'info2': 'Municipality: Trondheim', 'info3': 'Country: unknown', 'title': 'Geom: 2', 'element': 16, 'is_fixed': False, 'building_nr': 6, 'conflict_name': 'Building 6'}}]","[None, None, None, None, None, None, None, None, None, None, {'id': 11, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373864471912384, 63.42941094866038], [10.373920798301686, 63.42937255656401], [10.373993217945092, 63.429389353112505], [10.37403613328933, 63.42936175877764], [10.37422388792038, 63.42940494989874], [10.374097824096685, 63.42949253169447], [10.37390738725662, 63.42944454170261], [10.373931527137763, 63.429426545434865], [10.373864471912384, 63.42941094866038]]]]}, 'properties': {'json': {}, 'info1': 'Country: Norway', 'info2': 'City: Trondheim', 'info3': 'Address: Nidareid 5', 'title': 'Geom: 1', 'building_nr': 1, 'is_imported': True, 'element_name': 'Building 1'}}, None, None, None, None, None, None, None, None, None, {'id': 12, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374366044998157, 63.4299700277357], [10.37447333335876, 63.4298884460611], [10.374569892883313, 63.42990764177016], [10.37453770637513, 63.42992923692745], [10.374736189842231, 63.42998202502117], [10.374779105186468, 63.42999642175715], [10.374644994735707, 63.43007800312432], [10.37452697753905, 63.430051609178015], [10.374559164047234, 63.43001321793999], [10.374366044998157, 63.4299700277357]]]]}, 'properties': {'json': {}, 'info1': 'Building type: Detached house', 'info2': 'Building levels: 2', 'info3': 'Building material: wood', 'title': 'Geom: 1', 'building_nr': 2, 'is_imported': True, 'element_name': 'Building 2'}}, None, None, None, None, None, None, None, None, None, {'id': 13, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.376474261283853, 63.4298812476669], [10.376570820808405, 63.429893244989586], [10.376570820808405, 63.4299700277357], [10.376495718955985, 63.42998442447769], [10.37643671035767, 63.42999642175715], [10.376388430595382, 63.430044410824785], [10.376200675964354, 63.43004681027606], [10.376141667366012, 63.43001081848591], [10.375851988792409, 63.43001321793999], [10.375787615776042, 63.42993643530959], [10.375846624374384, 63.429869250339245], [10.376130938529961, 63.429878848201746], [10.37619531154633, 63.429833258326], [10.376415252685536, 63.42983565779493], [10.376474261283853, 63.4298812476669]]]]}, 'properties': {'json': {}, 'info1': 'Address: Kongens gate 99', 'info2': 'Amenity: Place of worship', 'info3': 'Building: Church', 'title': 'Geom: 1', 'building_nr': 3, 'is_imported': True, 'element_name': 'Building 3'}}, None, None, None, None, None, None, None, None, None, None, {'id': 14, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373218059539795, 63.430609476051416], [10.373108088970177, 63.43043431902005], [10.373274385929099, 63.43041992250411], [10.37338703870773, 63.43059148051538], [10.373218059539795, 63.430609476051416]]]]}, 'properties': {'json': {}, 'info1': 'Address: Mellommila 1A', 'info2': 'City: Trondheim', 'info3': 'Country: Norway', 'title': 'Geom: 2', 'building_nr': 4, 'is_imported': True, 'element_name': 'Building 4'}}, None, None, None, None, None, None, None, None, {'id': 15, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374990999698637, 63.43111214679162], [10.374940037727363, 63.43102097089206], [10.375130474567403, 63.43100297561444], [10.375146567821504, 63.431046164261716], [10.375277996063229, 63.43103896615835], [10.3753075003624, 63.431088153162015], [10.374990999698637, 63.43111214679162]]]]}, 'properties': {'json': {}, 'info1': 'Building: Detached house', 'info2': 'Building levels: 2', 'info3': 'Address: Nedre Ila 1', 'title': 'Geom: 1', 'building_nr': 5, 'is_imported': True, 'element_name': 'Building 5'}}, None, None, None, None, None, None, None, None, None, {'id': 16, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.37338703870773, 63.4296353014452], [10.37346214056015, 63.42958731169239], [10.373612344264991, 63.429624503757815], [10.373679399490346, 63.42957651398696], [10.373802781105027, 63.42961250632266], [10.373671352863306, 63.429707285923705], [10.37338703870773, 63.4296353014452]]]]}, 'properties': {'json': {}, 'info1': 'Source: Bing arerial image', 'info2': 'Building: Recidence', 'info3': 'Owner: Ola Normann', 'title': 'Geom: 1', 'building_nr': 6, 'is_imported': True, 'element_name': 'Building 6'}}]","id: 134, experienced: False","id: 1, title: Building geometry and metadata"
85,2017-04-05 07:58:00.616332+00:00,"[4, 1, 2, 3]",102,37,139,5,6,,,"[None, {'id': 11, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373864471912384, 63.42941094866038], [10.373920798301686, 63.42937255656401], [10.373993217945092, 63.429389353112505], [10.37403613328933, 63.42936175877764], [10.37422388792038, 63.42940494989874], [10.374097824096685, 63.42949253169447], [10.37390738725662, 63.42944454170261], [10.373931527137763, 63.429426545434865], [10.373864471912384, 63.42941094866038]]]]}, 'properties': {'json': {}, 'info1': 'Country: Norway', 'info2': 'City: Trondheim', 'info3': 'Address: Nidareid 5', 'title': 'Geom: 2', 'building_nr': 1, 'is_imported': True, 'element_name': 'Building 1'}}, {'id': 12, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374366044998157, 63.4299700277357], [10.37447333335876, 63.4298884460611], [10.374569892883313, 63.42990764177016], [10.37453770637513, 63.42992923692745], [10.374736189842231, 63.42998202502117], [10.374779105186468, 63.42999642175715], [10.374644994735707, 63.43007800312432], [10.37452697753905, 63.430051609178015], [10.374559164047234, 63.43001321793999], [10.374366044998157, 63.4299700277357]]]]}, 'properties': {'json': {}, 'info1': 'Building type: Detached house', 'info2': 'Building levels: 2', 'info3': 'Building material: wood', 'title': 'Geom: 1', 'building_nr': 2, 'is_imported': True, 'element_name': 'Building 2'}}, {'id': 13, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.376474261283853, 63.4298812476669], [10.376570820808405, 63.429893244989586], [10.376570820808405, 63.4299700277357], [10.376495718955985, 63.42998442447769], [10.37643671035767, 63.42999642175715], [10.376388430595382, 63.430044410824785], [10.376200675964354, 63.43004681027606], [10.376141667366012, 63.43001081848591], [10.375851988792409, 63.43001321793999], [10.375787615776042, 63.42993643530959], [10.375846624374384, 63.429869250339245], [10.376130938529961, 63.429878848201746], [10.37619531154633, 63.429833258326], [10.376415252685536, 63.42983565779493], [10.376474261283853, 63.4298812476669]]]]}, 'properties': {'json': {}, 'info1': 'Address: Kongens gate 99', 'info2': 'Amenity: Place of worship', 'info3': 'Building: Church', 'title': 'Geom: 2', 'building_nr': 3, 'is_imported': True, 'element_name': 'Building 3'}}, {'id': 14, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373218059539795, 63.430609476051416], [10.373108088970177, 63.43043431902005], [10.373274385929099, 63.43041992250411], [10.37338703870773, 63.43059148051538], [10.373218059539795, 63.430609476051416]]]]}, 'properties': {'json': {}, 'info1': 'Address: Mellommila 1A', 'info2': 'City: Trondheim', 'info3': 'Country: Norway', 'title': 'Geom: 1', 'building_nr': 4, 'is_imported': True, 'element_name': 'Building 4'}}, {'id': 15, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374990999698637, 63.43111214679162], [10.374940037727363, 63.43102097089206], [10.375130474567403, 63.43100297561444], [10.375146567821504, 63.431046164261716], [10.375277996063229, 63.43103896615835], [10.3753075003624, 63.431088153162015], [10.374990999698637, 63.43111214679162]]]]}, 'properties': {'json': {}, 'info1': 'Building: Detached house', 'info2': 'Building levels: 2', 'info3': 'Address: Nedre Ila 1', 'title': 'Geom: 1', 'building_nr': 5, 'is_imported': True, 'element_name': 'Building 5'}}, {'id': 16, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373226106166834, 63.429694088782874], [10.37337094545365, 63.42959930913812], [10.373615026474004, 63.429667694482895], [10.373464822769163, 63.42976487337632], [10.373226106166834, 63.429694088782874]]]]}, 'properties': {'json': {}, 'info1': 'Address: nidaReid', 'info2': 'Municipality: Trondheim', 'info3': 'Country: unknown', 'title': 'Geom: 2', 'element': 16, 'is_fixed': False, 'building_nr': 6, 'conflict_name': 'Building 6'}}]","[None, None, None, None, None, None, None, None, None, None, None, {'id': 11, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373864471912384, 63.42941094866038], [10.373920798301686, 63.42937255656401], [10.373993217945092, 63.429389353112505], [10.37403613328933, 63.42936175877764], [10.37422388792038, 63.42940494989874], [10.374097824096685, 63.42949253169447], [10.37390738725662, 63.42944454170261], [10.373931527137763, 63.429426545434865], [10.373864471912384, 63.42941094866038]]]]}, 'properties': {'json': {}, 'info1': 'Country: Norway', 'info2': 'City: Trondheim', 'info3': 'Address: Nidareid 5', 'title': 'Geom: 2', 'building_nr': 1, 'is_imported': True, 'element_name': 'Building 1'}}, None, None, None, None, None, None, None, None, {'id': 12, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374366044998157, 63.4299700277357], [10.37447333335876, 63.4298884460611], [10.374569892883313, 63.42990764177016], [10.37453770637513, 63.42992923692745], [10.374736189842231, 63.42998202502117], [10.374779105186468, 63.42999642175715], [10.374644994735707, 63.43007800312432], [10.37452697753905, 63.430051609178015], [10.374559164047234, 63.43001321793999], [10.374366044998157, 63.4299700277357]]]]}, 'properties': {'json': {}, 'info1': 'Building type: Detached house', 'info2': 'Building levels: 2', 'info3': 'Building material: wood', 'title': 'Geom: 1', 'building_nr': 2, 'is_imported': True, 'element_name': 'Building 2'}}, None, None, None, None, None, None, None, None, None, None, {'id': 13, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.376474261283853, 63.4298812476669], [10.376570820808405, 63.429893244989586], [10.376570820808405, 63.4299700277357], [10.376495718955985, 63.42998442447769], [10.37643671035767, 63.42999642175715], [10.376388430595382, 63.430044410824785], [10.376200675964354, 63.43004681027606], [10.376141667366012, 63.43001081848591], [10.375851988792409, 63.43001321793999], [10.375787615776042, 63.42993643530959], [10.375846624374384, 63.429869250339245], [10.376130938529961, 63.429878848201746], [10.37619531154633, 63.429833258326], [10.376415252685536, 63.42983565779493], [10.376474261283853, 63.4298812476669]]]]}, 'properties': {'json': {}, 'info1': 'Address: Kongens gate 99', 'info2': 'Amenity: Place of worship', 'info3': 'Building: Church', 'title': 'Geom: 2', 'building_nr': 3, 'is_imported': True, 'element_name': 'Building 3'}}, None, None, None, None, None, None, None, None, {'id': 14, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373218059539795, 63.430609476051416], [10.373108088970177, 63.43043431902005], [10.373274385929099, 63.43041992250411], [10.37338703870773, 63.43059148051538], [10.373218059539795, 63.430609476051416]]]]}, 'properties': {'json': {}, 'info1': 'Address: Mellommila 1A', 'info2': 'City: Trondheim', 'info3': 'Country: Norway', 'title': 'Geom: 1', 'building_nr': 4, 'is_imported': True, 'element_name': 'Building 4'}}, None, None, None, None, None, None, None, None, None, {'id': 15, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374990999698637, 63.43111214679162], [10.374940037727363, 63.43102097089206], [10.375130474567403, 63.43100297561444], [10.375146567821504, 63.431046164261716], [10.375277996063229, 63.43103896615835], [10.3753075003624, 63.431088153162015], [10.374990999698637, 63.43111214679162]]]]}, 'properties': {'json': {}, 'info1': 'Building: Detached house', 'info2': 'Building levels: 2', 'info3': 'Address: Nedre Ila 1', 'title': 'Geom: 1', 'building_nr': 5, 'is_imported': True, 'element_name': 'Building 5'}}, None, None, None, None, None, None, None, None, None, {'id': 16, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.37338703870773, 63.4296353014452], [10.37346214056015, 63.42958731169239], [10.373612344264991, 63.429624503757815], [10.373679399490346, 63.42957651398696], [10.373802781105027, 63.42961250632266], [10.373671352863306, 63.429707285923705], [10.37338703870773, 63.4296353014452]]]]}, 'properties': {'json': {}, 'info1': 'Source: Bing arerial image', 'info2': 'Building: Recidence', 'info3': 'Owner: Ola Normann', 'title': 'Geom: 1', 'building_nr': 6, 'is_imported': True, 'element_name': 'Building 6'}}]","id: 134, experienced: False","id: 2, title: Building geometry and metadata"
86,2017-04-05 07:59:38.856915+00:00,"[4, 1, 2, 3]",49,27,76,5,6,,,"[None, {'id': 11, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373864471912384, 63.42941094866038], [10.373920798301686, 63.42937255656401], [10.373993217945092, 63.429389353112505], [10.37403613328933, 63.42936175877764], [10.37422388792038, 63.42940494989874], [10.374097824096685, 63.42949253169447], [10.37390738725662, 63.42944454170261], [10.373931527137763, 63.429426545434865], [10.373864471912384, 63.42941094866038]]]]}, 'properties': {'json': {}, 'info1': 'Country: Norway', 'info2': 'City: Trondheim', 'info3': 'Address: Nidareid 5', 'title': 'Geom: 2', 'building_nr': 1, 'is_imported': True, 'element_name': 'Building 1'}}, {'id': 12, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374366044998157, 63.4299700277357], [10.37447333335876, 63.4298884460611], [10.374569892883313, 63.42990764177016], [10.37453770637513, 63.42992923692745], [10.374736189842231, 63.42998202502117], [10.374779105186468, 63.42999642175715], [10.374644994735707, 63.43007800312432], [10.37452697753905, 63.430051609178015], [10.374559164047234, 63.43001321793999], [10.374366044998157, 63.4299700277357]]]]}, 'properties': {'json': {}, 'info1': 'Building type: Detached house', 'info2': 'Building levels: 2', 'info3': 'Building material: wood', 'title': 'Geom: 2', 'building_nr': 2, 'is_imported': True, 'element_name': 'Building 2'}}, {'id': 13, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.376474261283853, 63.4298812476669], [10.376570820808405, 63.429893244989586], [10.376570820808405, 63.4299700277357], [10.376495718955985, 63.42998442447769], [10.37643671035767, 63.42999642175715], [10.376388430595382, 63.430044410824785], [10.376200675964354, 63.43004681027606], [10.376141667366012, 63.43001081848591], [10.375851988792409, 63.43001321793999], [10.375787615776042, 63.42993643530959], [10.375846624374384, 63.429869250339245], [10.376130938529961, 63.429878848201746], [10.37619531154633, 63.429833258326], [10.376415252685536, 63.42983565779493], [10.376474261283853, 63.4298812476669]]]]}, 'properties': {'json': {}, 'info1': 'Address: Kongens gate 99', 'info2': 'Amenity: Place of worship', 'info3': 'Building: Church', 'title': 'Geom: 1', 'building_nr': 3, 'is_imported': True, 'element_name': 'Building 3'}}, {'id': 14, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373218059539795, 63.430609476051416], [10.373108088970177, 63.43043431902005], [10.373274385929099, 63.43041992250411], [10.37338703870773, 63.43059148051538], [10.373218059539795, 63.430609476051416]]]]}, 'properties': {'json': {}, 'info1': 'Address: Mellommila 1A', 'info2': 'City: Trondheim', 'info3': 'Country: Norway', 'title': 'Geom: 2', 'building_nr': 4, 'is_imported': True, 'element_name': 'Building 4'}}, {'id': 15, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374990999698637, 63.43111214679162], [10.374940037727363, 63.43102097089206], [10.375130474567403, 63.43100297561444], [10.375146567821504, 63.431046164261716], [10.375277996063229, 63.43103896615835], [10.3753075003624, 63.431088153162015], [10.374990999698637, 63.43111214679162]]]]}, 'properties': {'json': {}, 'info1': 'Building: Detached house', 'info2': 'Building levels: 2', 'info3': 'Address: Nedre Ila 1', 'title': 'Geom: 2', 'building_nr': 5, 'is_imported': True, 'element_name': 'Building 5'}}, {'id': 16, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373226106166834, 63.429694088782874], [10.37337094545365, 63.42959930913812], [10.373615026474004, 63.429667694482895], [10.373464822769163, 63.42976487337632], [10.373226106166834, 63.429694088782874]]]]}, 'properties': {'json': {}, 'info1': 'Address: nidaReid', 'info2': 'Municipality: Trondheim', 'info3': 'Country: unknown', 'title': 'Geom: 2', 'element': 16, 'is_fixed': False, 'building_nr': 6, 'conflict_name': 'Building 6'}}]","[None, None, None, None, None, None, None, None, None, None, None, {'id': 11, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373864471912384, 63.42941094866038], [10.373920798301686, 63.42937255656401], [10.373993217945092, 63.429389353112505], [10.37403613328933, 63.42936175877764], [10.37422388792038, 63.42940494989874], [10.374097824096685, 63.42949253169447], [10.37390738725662, 63.42944454170261], [10.373931527137763, 63.429426545434865], [10.373864471912384, 63.42941094866038]]]]}, 'properties': {'json': {}, 'info1': 'Country: Norway', 'info2': 'City: Trondheim', 'info3': 'Address: Nidareid 5', 'title': 'Geom: 2', 'building_nr': 1, 'is_imported': True, 'element_name': 'Building 1'}}, None, None, None, None, None, None, None, None, None, {'id': 12, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374366044998157, 63.4299700277357], [10.37447333335876, 63.4298884460611], [10.374569892883313, 63.42990764177016], [10.37453770637513, 63.42992923692745], [10.374736189842231, 63.42998202502117], [10.374779105186468, 63.42999642175715], [10.374644994735707, 63.43007800312432], [10.37452697753905, 63.430051609178015], [10.374559164047234, 63.43001321793999], [10.374366044998157, 63.4299700277357]]]]}, 'properties': {'json': {}, 'info1': 'Building type: Detached house', 'info2': 'Building levels: 2', 'info3': 'Building material: wood', 'title': 'Geom: 2', 'building_nr': 2, 'is_imported': True, 'element_name': 'Building 2'}}, None, None, None, None, None, None, None, None, {'id': 13, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.376474261283853, 63.4298812476669], [10.376570820808405, 63.429893244989586], [10.376570820808405, 63.4299700277357], [10.376495718955985, 63.42998442447769], [10.37643671035767, 63.42999642175715], [10.376388430595382, 63.430044410824785], [10.376200675964354, 63.43004681027606], [10.376141667366012, 63.43001081848591], [10.375851988792409, 63.43001321793999], [10.375787615776042, 63.42993643530959], [10.375846624374384, 63.429869250339245], [10.376130938529961, 63.429878848201746], [10.37619531154633, 63.429833258326], [10.376415252685536, 63.42983565779493], [10.376474261283853, 63.4298812476669]]]]}, 'properties': {'json': {}, 'info1': 'Address: Kongens gate 99', 'info2': 'Amenity: Place of worship', 'info3': 'Building: Church', 'title': 'Geom: 1', 'building_nr': 3, 'is_imported': True, 'element_name': 'Building 3'}}, None, None, None, None, None, None, None, None, None, None, {'id': 14, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.373218059539795, 63.430609476051416], [10.373108088970177, 63.43043431902005], [10.373274385929099, 63.43041992250411], [10.37338703870773, 63.43059148051538], [10.373218059539795, 63.430609476051416]]]]}, 'properties': {'json': {}, 'info1': 'Address: Mellommila 1A', 'info2': 'City: Trondheim', 'info3': 'Country: Norway', 'title': 'Geom: 2', 'building_nr': 4, 'is_imported': True, 'element_name': 'Building 4'}}, None, None, None, None, None, None, None, None, None, {'id': 15, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.374990999698637, 63.43111214679162], [10.374940037727363, 63.43102097089206], [10.375130474567403, 63.43100297561444], [10.375146567821504, 63.431046164261716], [10.375277996063229, 63.43103896615835], [10.3753075003624, 63.431088153162015], [10.374990999698637, 63.43111214679162]]]]}, 'properties': {'json': {}, 'info1': 'Building: Detached house', 'info2': 'Building levels: 2', 'info3': 'Address: Nedre Ila 1', 'title': 'Geom: 2', 'building_nr': 5, 'is_imported': True, 'element_name': 'Building 5'}}, None, None, None, None, None, None, None, None, {'id': 16, 'type': 'Feature', 'geometry': {'type': 'MultiPolygon', 'coordinates': [[[[10.37338703870773, 63.4296353014452], [10.37346214056015, 63.42958731169239], [10.373612344264991, 63.429624503757815], [10.373679399490346, 63.42957651398696], [10.373802781105027, 63.42961250632266], [10.373671352863306, 63.429707285923705], [10.37338703870773, 63.4296353014452]]]]}, 'properties': {'json': {}, 'info1': 'Source: Bing arerial image', 'info2': 'Building: Recidence', 'info3': 'Owner: Ola Normann', 'title': 'Geom: 1', 'building_nr': 6, 'is_imported': True, 'element_name': 'Building 6'}}]","id: 134, experienced: False","id: 3, title: Building geometry and metadata"
